000001 | name00001 | 10 | 10 | 1996 | 15 | 93 | 35 | 86 | 92 | 64.20
000002 | name00002 | 17 | 01 | 1995 | 27 | 90 | 59 | 63 | 26 | 53.00
000003 | name00003 | 29 | 06 | 1995 | 36 | 11 | 68 | 67 | 29 | 42.20
000004 | name00004 | 28 | 02 | 1995 | 23 | 67 | 35 | 29 | 02 | 31.20
000005 | name00005 | 05 | 06 | 1996 | 67 | 93 | 56 | 11 | 42 | 53.80
000006 | name00006 | 24 | 09 | 1996 | 19 | 84 | 37 | 98 | 24 | 52.40
000007 | name00007 | 22 | 06 | 1996 | 26 | 91 | 80 | 56 | 73 | 65.20
000008 | name00008 | 20 | 02 | 1995 | 81 | 05 | 25 | 84 | 27 | 44.40
000009 | name00009 | 02 | 05 | 1995 | 29 | 13 | 57 | 24 | 95 | 43.60
000010 | name00010 | 22 | 09 | 1995 | 67 | 34 | 64 | 43 | 50 | 51.60
000011 | name00011 | 07 | 00 | 1995 | 78 | 88 | 84 | 03 | 51 | 60.80
000012 | name00012 | 00 | 07 | 1995 | 60 | 76 | 68 | 39 | 12 | 51.00
000013 | name00013 | 18 | 06 | 1995 | 39 | 95 | 70 | 34 | 78 | 63.20
000014 | name00014 | 17 | 09 | 1996 | 02 | 17 | 92 | 52 | 56 | 43.80
000015 | name00015 | 27 | 08 | 1995 | 41 | 65 | 89 | 44 | 19 | 51.60
000016 | name00016 | 14 | 09 | 1996 | 17 | 97 | 71 | 81 | 75 | 68.20
000017 | name00017 | 22 | 07 | 1996 | 56 | 97 | 53 | 86 | 65 | 71.40
000018 | name00018 | 20 | 11 | 1996 | 24 | 28 | 71 | 32 | 29 | 36.80
000019 | name00019 | 05 | 11 | 1995 | 68 | 08 | 15 | 40 | 49 | 36.00
000020 | name00020 | 11 | 11 | 1995 | 45 | 46 | 51 | 21 | 55 | 43.60
000021 | name00021 | 06 | 04 | 1995 | 28 | 41 | 50 | 93 | 00 | 42.40
000022 | name00022 | 20 | 04 | 1995 | 14 | 87 | 56 | 43 | 91 | 58.20
000023 | name00023 | 00 | 01 | 1996 | 36 | 32 | 51 | 37 | 28 | 36.80
000024 | name00024 | 18 | 11 | 1995 | 21 | 58 | 95 | 29 | 37 | 48.00
000025 | name00025 | 14 | 01 | 1995 | 28 | 43 | 11 | 28 | 29 | 27.80
000026 | name00026 | 24 | 04 | 1996 | 63 | 13 | 38 | 06 | 40 | 32.00
000027 | name00027 | 26 | 10 | 1995 | 88 | 69 | 17 | 17 | 96 | 57.40
000028 | name00028 | 03 | 03 | 1995 | 83 | 90 | 99 | 72 | 25 | 73.80
000029 | name00029 | 28 | 06 | 1996 | 39 | 54 | 86 | 69 | 82 | 66.00
000030 | name00030 | 17 | 08 | 1996 | 07 | 55 | 04 | 48 | 11 | 25.00
000031 | name00031 | 15 | 00 | 1996 | 43 | 46 | 68 | 40 | 22 | 43.80
000032 | name00032 | 10 | 10 | 1996 | 01 | 61 | 30 | 78 | 05 | 35.00
000033 | name00033 | 20 | 08 | 1995 | 26 | 22 | 65 | 08 | 16 | 27.40
000034 | name00034 | 04 | 02 | 1995 | 37 | 62 | 24 | 00 | 36 | 31.80
